$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate,Average p-value,Wrong_ranking_cost_without_no_proportion
0.0,0.0,12.4,12.4,0.21,,
0.0,0.0,12.5,12.5,0.206,,
0.0,0.0,12.6,12.6,0.192,,
0.0,0.0,12.7,12.7,0.22,,
0.0,0.0,12.8,12.8,0.194,,
0.0,0.0,12.9,12.9,0.196,,
0.0,0.0,13.0,13.0,0.234,,
0.0,0.0,13.1,13.1,0.19,,
0.0,0.0,13.2,13.2,0.204,,
0.0,0.0,13.3,13.3,0.204,,
0.0,0.0,13.4,13.4,0.184,,
0.0,0.0,13.5,13.5,0.18,,
0.0,0.0,13.6,13.6,0.188,,
0.0,0.0,13.7,13.7,0.2,,
0.0,0.0,13.8,13.8,0.2,,
0.0,0.0,13.9,13.9,0.21,,
0.0,0.0,14.0,14.0,0.21,,
0.0,0.0,14.1,14.1,0.192,,
0.0,0.0,14.2,14.2,0.232,,
0.0,0.0,14.3,14.3,0.236,,
0.0,0.0,14.4,14.4,0.202,,
0.0,0.0,14.5,14.5,0.25,,
0.0,0.0,14.6,14.6,0.192,,
0.0,0.0,14.7,14.7,0.184,,
0.0,0.0,14.8,14.8,0.162,,
0.0,0.0,14.9,14.9,0.202,,
0.0,0.0,15.0,15.0,0.21,,
0.1,0.1,0.0,0.0,0.886,,
0.1,0.1,0.1,0.1,0.886,,
0.1,0.1,0.2,0.2,0.922,,
0.1,0.1,0.3,0.3,0.9,,
0.1,0.1,0.4,0.4,0.9,,
0.1,0.1,0.5,0.5,0.898,,
0.1,0.1,0.6,0.6,0.888,,
0.1,0.1,0.7,0.7,0.896,,
0.1,0.1,0.8,0.8,0.886,,
0.1,0.1,0.9,0.9,0.898,,
0.1,0.1,1.0,1.0,0.852,,
0.1,0.1,1.1,1.1,0.852,,
0.1,0.1,1.2,1.2,0.818,,
0.1,0.1,1.3,1.3,0.826,,
0.1,0.1,1.4,1.4,0.79,,
0.1,0.1,1.5,1.5,0.764,,
0.1,0.1,1.6,1.6,0.774,,
0.1,0.1,1.7,1.7,0.732,,
0.1,0.1,1.8,1.8,0.704,,
0.1,0.1,1.9,1.9,0.676,,
0.1,0.1,2.0,2.0,0.626,,
0.1,0.1,2.1,2.1,0.61,,
0.1,0.1,2.2,2.2,0.534,,
0.1,0.1,2.3,2.3,0.558,,
0.1,0.1,2.4,2.4,0.528,,
0.1,0.1,2.5,2.5,0.49,,
0.1,0.1,2.6,2.6,0.426,,
0.1,0.1,2.7,2.7,0.434,,
0.1,0.1,2.8,2.8,0.418,,
0.1,0.1,2.9,2.9,0.368,,
0.1,0.1,3.0,3.0,0.336,,
0.1,0.1,3.1,3.1,0.34,,
