n,$\mu_{m_1}$,$\sigma_{m_1}$,$\mu_{h_{pred}}$,$\sigma_{h_{pred}}$,$\mu_{h_1}$,$\sigma_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations,no:yes,after_replication_no:yes
4,30,0,7.8384999999982785,0.6954719188552911,7.874123829353896,0.7474919710220745,2,8.064,0,7.044,9511,4.0,4.217391304347826
3,40,0,7.570799999998902,0.6789800056229955,7.572793064891503,0.7976278720245142,1,7.859,2,7.66,1266,1.3529411764705883,0.6901408450704225
3,40,0,7.570799999998902,0.6789800056229955,7.572793064891503,0.7976278720245142,2,8.56,2,8.56,4859,0.9672131147540983,0.6901408450704225
3,40,0,7.570799999998902,0.6789800056229955,7.572793064891503,0.7976278720245142,2,8.175,2,8.175,6184,1.3076923076923077,0.6901408450704225
3,40,0,7.570799999998902,0.6789800056229955,7.572793064891503,0.7976278720245142,1,7.875,1,7.875,2860,1.4,0.6901408450704225
3,40,0,7.570799999998902,0.6789800056229955,7.572793064891503,0.7976278720245142,1,6.703,1,6.703,3914,11.0,0.6901408450704225
3,40,0,7.570799999998902,0.6789800056229955,7.572793064891503,0.7976278720245142,2,8.449,1,6.987,13556,0.7142857142857143,0.6901408450704225
3,40,0,7.570799999998902,0.6789800056229955,7.572793064891503,0.7976278720245142,0,8.174,1,6.505,5122,0.875,0.6901408450704225
3,40,0,7.570799999998902,0.6789800056229955,7.572793064891503,0.7976278720245142,2,7.128,2,7.128,7464,6.5,0.6901408450704225
3,40,0,7.570799999998902,0.6789800056229955,7.572793064891503,0.7976278720245142,1,7.345,1,7.345,362,7.571428571428571,0.6901408450704225
3,40,0,7.570799999998902,0.6789800056229955,7.572793064891503,0.7976278720245142,1,7.432,1,7.432,17864,2.75,0.6901408450704225
3,40,0,7.570799999998902,0.6789800056229955,7.572793064891503,0.7976278720245142,0,8.249,0,8.249,4820,1.2222222222222223,0.6901408450704225
3,40,0,7.570799999998902,0.6789800056229955,7.572793064891503,0.7976278720245142,2,7.263,0,6.894,10973,2.6363636363636362,0.6901408450704225
3,40,0,7.570799999998902,0.6789800056229955,7.572793064891503,0.7976278720245142,2,7.22,2,7.22,6150,2.870967741935484,0.6901408450704225
3,40,0,7.570799999998902,0.6789800056229955,7.572793064891503,0.7976278720245142,2,7.747,2,7.747,549,4.0,0.6901408450704225
3,40,0,7.570799999998902,0.6789800056229955,7.572793064891503,0.7976278720245142,1,7.688,1,7.688,4368,2.6363636363636362,0.6901408450704225
3,40,0,7.570799999998902,0.6789800056229955,7.572793064891503,0.7976278720245142,2,8.089,0,7.745,9538,0.6,0.6901408450704225
3,40,0,7.570799999998902,0.6789800056229955,7.572793064891503,0.7976278720245142,0,9.75,2,6.377,19817,1.3076923076923077,0.6901408450704225
3,40,0,7.570799999998902,0.6789800056229955,7.572793064891503,0.7976278720245142,2,7.627,2,7.627,14543,1.3076923076923077,0.6901408450704225
3,40,0,7.570799999998902,0.6789800056229955,7.572793064891503,0.7976278720245142,0,7.188,0,7.188,13538,4.217391304347826,0.6901408450704225
3,40,0,7.570799999998902,0.6789800056229955,7.572793064891503,0.7976278720245142,2,8.012,2,8.012,564,2.5294117647058822,0.6901408450704225
5,24,0,8.021899999997851,0.7082640405723547,7.654254878470467,0.754573405674183,1,8.755,1,8.755,939,2.870967741935484,4.714285714285714
5,24,0,8.021899999997851,0.7082640405723547,7.654254878470467,0.754573405674183,1,8.793,3,8.073,6602,1.0338983050847457,4.714285714285714
5,24,0,8.021899999997851,0.7082640405723547,7.654254878470467,0.754573405674183,3,7.206,2,6.402,4526,6.0588235294117645,4.714285714285714
5,24,0,8.021899999997851,0.7082640405723547,7.654254878470467,0.754573405674183,0,9.328,2,6.989,16029,2.870967741935484,4.714285714285714
5,24,0,8.021899999997851,0.7082640405723547,7.654254878470467,0.754573405674183,0,8.749,0,8.749,6235,0.8181818181818182,4.714285714285714
5,24,0,8.021899999997851,0.7082640405723547,7.654254878470467,0.754573405674183,2,8.967,3,7.554,8384,1.6666666666666667,4.714285714285714
5,24,0,8.021899999997851,0.7082640405723547,7.654254878470467,0.754573405674183,3,8.37,2,8.3,4817,0.7647058823529411,4.714285714285714
5,24,0,8.021899999997851,0.7082640405723547,7.654254878470467,0.754573405674183,0,7.521,0,7.521,9667,5.315789473684211,4.714285714285714
5,24,0,8.021899999997851,0.7082640405723547,7.654254878470467,0.754573405674183,4,7.738,2,6.282,18019,2.1578947368421053,4.714285714285714
5,24,0,8.021899999997851,0.7082640405723547,7.654254878470467,0.754573405674183,1,9.553,1,9.553,4622,1.2641509433962264,4.714285714285714
5,24,0,8.021899999997851,0.7082640405723547,7.654254878470467,0.754573405674183,3,8.363,4,7.619,4326,1.9268292682926829,4.714285714285714
5,24,0,8.021899999997851,0.7082640405723547,7.654254878470467,0.754573405674183,2,7.574,2,7.574,5096,6.0588235294117645,4.714285714285714
