nop,$\mu_{m}$,success_rate,avg_pvalue,Wrong_ranking_cost_without_no,Wrong_ranking_cost_with_no_proportion
5,1090,0.968,0.06229010619616471,0.014099999999999984,0.013999999999999985
5,1110,0.962,0.05887263524707192,0.013699999999999988,0.013999999999999988
5,1130,0.964,0.055096800844865824,0.016199999999999982,0.016199999999999982
5,1150,0.972,0.051700528641471975,0.010399999999999994,0.010999999999999992
5,1170,0.954,0.05618334414938876,0.015099999999999981,0.014799999999999982
5,1190,0.984,0.048033818511491105,0.012999999999999989,0.013399999999999988
5,1210,0.98,0.04155667001906006,0.014399999999999986,0.014399999999999984
5,1230,0.966,0.06307380505989894,0.011399999999999993,0.011199999999999996
5,1250,0.982,0.05723567820331525,0.010399999999999996,0.010199999999999996
5,1270,0.968,0.05803619674281689,0.015799999999999984,0.015399999999999983
5,1290,0.976,0.053977338958351384,0.012599999999999986,0.012599999999999988
5,1310,0.982,0.0524247628792644,0.011299999999999992,0.011199999999999995
5,1330,0.966,0.06911436157047764,0.013899999999999984,0.014199999999999983
5,1350,0.986,0.04151539436072716,0.012399999999999991,0.012199999999999994
5,1370,0.986,0.055363010072566936,0.011199999999999995,0.010799999999999995
5,1390,0.978,0.06415912871872394,0.01259999999999999,0.012599999999999991
5,1410,0.974,0.04911625009754338,0.009899999999999997,0.009599999999999997
5,1430,0.986,0.05316599838416619,0.013099999999999988,0.012999999999999989
5,1450,0.972,0.06565972271686157,0.01189999999999999,0.011399999999999992
5,1470,0.982,0.04620888700455766,0.011799999999999988,0.01159999999999999
5,1490,0.984,0.040327905616457015,0.008800000000000002,0.008800000000000002
10,50,0.816,0.30694673746885043,0.05662222222222239,0.05635555555555539
10,70,0.806,0.30935078713433634,0.05446666666666679,0.053644444444444286
10,90,0.856,0.27477347744382374,0.045711111111111175,0.0461333333333332
10,110,0.88,0.2674858249759435,0.04171111111111113,0.041955555555555434
10,130,0.882,0.2248194859712365,0.0386222222222222,0.03866666666666656
10,150,0.882,0.21816215892101695,0.03488888888888882,0.034666666666666575
10,170,0.866,0.20459668636670758,0.036844444444444395,0.03728888888888879
10,190,0.896,0.1891178800461417,0.03204444444444436,0.03155555555555547
10,210,0.91,0.19335522015765555,0.03086666666666658,0.03115555555555547
10,230,0.922,0.1930254246068031,0.029377777777777697,0.029111111111111032
10,250,0.91,0.16143330312570894,0.028288888888888815,0.028533333333333258
