$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate,Average p-value,Wrong_ranking_cost_without_no_proportion
0.1,0.1,5.3,5.3,0.53,0.9410122680837708,0.46
0.1,0.1,5.4,5.4,0.538,0.9653604290826094,0.479
0.1,0.1,5.5,5.5,0.508,0.9664138000578119,0.478
0.1,0.1,5.6,5.6,0.49,0.9757662614355305,0.489
0.1,0.1,5.7,5.7,0.516,0.9832579329182215,0.491
0.1,0.1,5.8,5.8,0.502,0.9855826773806842,0.493
0.1,0.1,5.9,5.9,0.544,0.9881206595993408,0.494
0.1,0.1,6.0,6.0,0.494,0.9889415411369732,0.493
0.1,0.1,6.1,6.1,0.48,0.9980283205016198,0.499
0.1,0.1,6.2,6.2,0.528,0.9933191008762496,0.495
0.1,0.1,6.3,6.3,0.53,0.9969485621873371,0.498
0.1,0.1,6.4,6.4,0.508,0.9959031369534803,0.497
0.1,0.1,6.5,6.5,0.512,0.9986343789844935,0.499
0.1,0.1,6.6,6.6,0.494,0.9968004454770917,0.498
0.1,0.1,6.7,6.7,0.55,0.9966283664056873,0.497
0.1,0.1,6.8,6.8,0.508,0.9981660664925982,0.499
0.1,0.1,6.9,6.9,0.476,1.0,0.5
0.1,0.1,7.0,7.0,0.508,0.9972687579689868,0.498
0.1,0.1,7.1,7.1,0.472,1.0,0.5
0.1,0.1,7.2,7.2,0.482,1.0,0.5
0.1,0.1,7.3,7.3,0.478,1.0,0.5
0.1,0.1,7.4,7.4,0.49,1.0,0.5
0.1,0.1,7.5,7.5,0.516,1.0,0.5
0.1,0.1,7.6,7.6,0.494,1.0,0.499
0.1,0.1,7.7,7.7,0.496,1.0,0.5
0.1,0.1,7.8,7.8,0.49,1.0,0.5
0.1,0.1,7.9,7.9,0.476,1.0,0.5
0.1,0.1,8.0,8.0,0.498,1.0,0.5
0.1,0.1,8.1,8.1,0.472,1.0,0.5
0.1,0.1,8.2,8.2,0.49,1.0,0.5
0.1,0.1,8.3,8.3,0.526,1.0,0.5
0.1,0.1,8.4,8.4,0.492,1.0,0.5
0.1,0.1,8.5,8.5,0.518,1.0,0.5
0.1,0.1,8.6,8.6,0.53,1.0,0.499
0.1,0.1,8.7,8.7,0.516,1.0,0.5
0.1,0.1,8.8,8.8,0.458,1.0,0.5
0.1,0.1,8.9,8.9,0.49,1.0,0.498
0.1,0.1,9.0,9.0,0.48,1.0,0.499
0.1,0.1,9.1,9.1,0.504,1.0,0.5
0.1,0.1,9.2,9.2,0.526,1.0,0.5
0.1,0.1,9.3,9.3,0.51,1.0,0.5
0.1,0.1,9.4,9.4,0.484,1.0,0.5
0.1,0.1,9.5,9.5,0.504,1.0,0.5
0.1,0.1,9.6,9.6,0.49,1.0,0.5
0.1,0.1,9.7,9.7,0.51,1.0,0.5
0.1,0.1,9.8,9.8,0.528,1.0,0.5
0.1,0.1,9.9,9.9,0.472,1.0,0.5
0.1,0.1,10.0,10.0,0.524,1.0,0.499
0.1,0.1,10.1,10.1,0.456,1.0,0.5
0.1,0.1,10.2,10.2,0.502,1.0,0.5
0.1,0.1,10.3,10.3,0.516,1.0,0.5
0.1,0.1,10.4,10.4,0.54,1.0,0.5
0.1,0.1,10.5,10.5,0.488,1.0,0.5
0.1,0.1,10.6,10.6,0.49,1.0,0.5
0.1,0.1,10.7,10.7,0.544,1.0,0.5
0.1,0.1,10.8,10.8,0.494,1.0,0.5
0.1,0.1,10.9,10.9,0.472,1.0,0.499
0.1,0.1,11.0,11.0,0.47,1.0,0.5
0.1,0.1,11.1,11.1,0.472,1.0,0.5
0.1,0.1,11.2,11.2,0.51,1.0,0.499
0.1,0.1,11.3,11.3,0.49,1.0,0.5
0.1,0.1,11.4,11.4,0.486,1.0,0.5
0.1,0.1,11.5,11.5,0.516,1.0,0.5
0.1,0.1,11.6,11.6,0.482,1.0,0.5
0.1,0.1,11.7,11.7,0.474,1.0,0.5
0.1,0.1,11.8,11.8,0.506,1.0,0.5
0.1,0.1,11.9,11.9,0.52,1.0,0.5
0.1,0.1,12.0,12.0,0.518,1.0,0.5
0.1,0.1,12.1,12.1,0.554,1.0,0.5
0.1,0.1,12.2,12.2,0.474,1.0,0.5
0.1,0.1,12.3,12.3,0.476,1.0,0.5
0.1,0.1,12.4,12.4,0.476,1.0,0.499
0.1,0.1,12.5,12.5,0.468,1.0,0.5
0.1,0.1,12.6,12.6,0.486,1.0,0.497
0.1,0.1,12.7,12.7,0.524,1.0,0.5
0.1,0.1,12.8,12.8,0.498,1.0,0.5
0.1,0.1,12.9,12.9,0.51,1.0,0.5
0.1,0.1,13.0,13.0,0.518,1.0,0.5
0.1,0.1,13.1,13.1,0.502,1.0,0.5
0.1,0.1,13.2,13.2,0.508,1.0,0.5
0.1,0.1,13.3,13.3,0.518,1.0,0.5
0.1,0.1,13.4,13.4,0.536,1.0,0.5
0.1,0.1,13.5,13.5,0.48,1.0,0.5
0.1,0.1,13.6,13.6,0.464,1.0,0.5
0.1,0.1,13.7,13.7,0.494,1.0,0.5
0.1,0.1,13.8,13.8,0.474,1.0,0.5
0.1,0.1,13.9,13.9,0.466,1.0,0.5
