n,$\mu_{m_1}$,$\sigma_{m_1}$,$\mu_{h_{pred}}$,$\sigma_{h_{pred}}$,$\mu_{h_1}$,$\sigma_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations,no:yes
4,30,0,7.8384999999982785,0.6954719188552911,7.50945244667326,0.5847450495308041,0,8.999,3,7.896,4795,0.558369042981431
4,30,0,7.8384999999982785,0.6954719188552911,7.50945244667326,0.5847450495308041,3,8.435,3,8.435,7402,1.3526759458929623
3,40,0,7.570799999998902,0.6789800056229955,7.494417238814505,0.5736402847695912,1,7.592,1,7.592,1364,2.4278777492145105
3,40,0,7.570799999998902,0.6789800056229955,7.494417238814505,0.5736402847695912,1,7.887,0,7.121,15994,1.608346011736579
3,40,0,7.570799999998902,0.6789800056229955,7.494417238814505,0.5736402847695912,1,8.327,0,8.012,5989,0.7645934421408616
3,40,0,7.570799999998902,0.6789800056229955,7.494417238814505,0.5736402847695912,2,7.804,0,7.131,7430,2.528668038812114
3,40,0,7.570799999998902,0.6789800056229955,7.494417238814505,0.5736402847695912,0,8.873,0,8.873,19480,0.5383925137802845
3,40,0,7.570799999998902,0.6789800056229955,7.494417238814505,0.5736402847695912,1,7.811,1,7.811,2260,1.9263594245306024
3,40,0,7.570799999998902,0.6789800056229955,7.494417238814505,0.5736402847695912,2,9.043,2,9.043,501,2.0763906690592155
3,40,0,7.570799999998902,0.6789800056229955,7.494417238814505,0.5736402847695912,0,7.409,0,7.409,2271,3.136849362288866
3,40,0,7.570799999998902,0.6789800056229955,7.494417238814505,0.5736402847695912,2,7.765,2,7.765,3762,1.2639124693454065
3,40,0,7.570799999998902,0.6789800056229955,7.494417238814505,0.5736402847695912,2,7.088,2,7.088,365,13.982521847690387
3,40,0,7.570799999998902,0.6789800056229955,7.479916464241256,0.5635401575572816,1,7.547,1,7.547,545,3.9983340274885464
3,40,0,7.570799999998902,0.6789800056229955,7.479916464241256,0.5635401575572816,2,8.101,2,8.101,6535,0.4999375078115235
3,40,0,7.570799999998902,0.6789800056229955,7.479916464241256,0.5635401575572816,1,8.443,1,8.443,4820,0.5788712011577424
3,40,0,7.570799999998902,0.6789800056229955,7.479916464241256,0.5635401575572816,1,7.12,1,7.12,350,10.989010989010989
3,40,0,7.570799999998902,0.6789800056229955,7.479916464241256,0.5635401575572816,1,9.099,1,9.099,9535,1.3526759458929623
