$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations,No_units
0,6.724,0,6.724,3423,0
1,8.104,4,7.664,11779,0
1,6.911,0,5.763,4840,0
4,8.305,1,7.021,8861,0
4,8.201,3,7.567,13510,0
3,7.732,3,7.732,5976,0
2,8.678,2,8.678,5377,0
2,8.967,2,8.967,7140,0
4,7.318,4,7.318,4953,0
3,7.894,4,7.892,8313,0
0,6.244,4,5.919,2461,0
0,8.203,3,7.418,3967,0
2,7.539,4,6.749,23056,0
1,8.64,1,8.64,5744,0
4,7.544,0,7.161,10800,0
0,7.492,4,6.902,3994,0
1,8.293,1,8.293,3684,0
3,7.927,1,7.646,6053,0
4,8.362,1,6.877,14211,0
3,7.444,0,6.094,6931,0
0,7.667,1,6.884,3334,0
2,8.562,3,8.213,5263,0
3,7.699,1,7.631,8845,0
4,8.963,1,8.701,1214,0
0,8.416,1,7.507,7126,0
4,8.303,2,7.096,4690,0
2,9.186,3,7.228,3821,0
2,7.492,3,7.323,4369,0
1,7.62,0,6.981,4610,0
0,8.428,0,8.428,2130,0
3,8.531,2,8.191,7891,0
0,7.263,0,7.263,6106,0
0,8.548,0,8.548,5684,0
4,7.591,0,7.308,8398,0
3,7.838,3,7.838,10722,0
1,7.595,4,7.556,5135,0
0,7.703,0,7.703,4013,0
4,9.217,2,6.565,14730,0
4,8.936,0,7.282,2354,0
4,8.342,3,6.365,7702,0
4,6.805,0,6.006,8528,0
4,7.585,4,7.585,2569,0
4,8.84,2,7.541,1733,0
1,9.652,1,9.652,13429,0
4,8.59,2,7.145,8970,0
2,8.475,2,8.475,4258,0
3,7.923,3,7.923,5223,0
4,7.946,4,7.946,4788,0
3,7.488,2,7.114,6992,0
4,7.625,4,7.625,10946,0
4,8.224,4,8.224,11936,0
3,8.064,3,8.064,7093,0
1,8.291,1,8.291,2187,0
4,7.461,4,7.461,11384,0
4,8.552,2,7.667,9771,0
1,7.922,0,7.008,7941,0
4,8.178,0,5.774,14689,0
1,8.041,0,7.875,8874,0
4,8.062,2,7.38,4360,0
4,8.522,3,6.882,2037,0
4,9.085,1,8.604,11023,0
0,8.596,0,8.596,7649,0
4,8.76,3,8.475,5071,0
4,8.758,0,7.533,3595,0
4,7.715,4,7.715,14274,0
4,8.13,2,7.443,7874,0
0,7.993,0,7.993,4513,0
4,7.495,4,7.495,3771,0
0,7.373,1,6.759,8777,0
1,8.626,4,7.079,8565,0
4,8.462,0,7.305,3978,0
1,8.376,1,8.376,11360,0
0,7.825,1,7.401,8976,0
4,7.435,4,7.435,4198,0
1,8.156,1,8.156,8741,0
4,8.353,2,6.277,9555,0
0,8.367,0,8.367,3364,0
1,7.832,2,5.155,10401,0
0,7.409,0,7.409,2828,0
4,8.746,3,7.401,2640,0
1,7.122,1,7.122,1512,0
0,8.652,4,7.612,1028,0
2,7.655,2,7.655,1124,0
4,7.722,4,7.722,8355,0
4,8.513,0,7.659,8768,0
1,7.673,2,7.264,3703,0
4,8.283,0,7.46,2988,0
4,7.715,3,7.17,3504,0
1,7.681,1,7.681,1177,0
0,8.678,0,8.678,5512,0
4,9.136,3,6.209,18301,0
2,9.272,4,8.748,2510,0
1,9.814,4,8.819,2782,0
4,8.309,4,8.309,10885,0
0,8.428,1,7.454,4239,0
4,6.948,4,6.948,11064,0
3,6.984,4,5.837,2694,0
3,9.274,3,9.274,3687,0
0,8.302,2,7.302,4372,0
1,8.835,2,6.923,14634,0
2,8.547,1,8.305,3842,0
3,8.427,3,8.427,4492,0
3,8.689,3,8.689,7854,20
1,7.042,3,6.665,5600,20
2,8.543,2,8.543,16336,20
2,9.833,3,7.042,18858,20
4,7.659,4,7.659,15578,20
1,6.961,4,6.845,10220,20
3,7.214,3,7.214,53173,20
3,7.632,4,6.577,62278,20
0,8.362,1,6.492,23071,20
4,8.709,4,8.709,15283,20
4,8.143,3,8.04,47361,20
1,7.484,1,7.484,31727,20
0,7.389,0,7.389,16919,20
1,8.729,1,8.729,12318,20
2,9.066,1,8.196,24447,20
2,8.404,1,7.46,25261,20
3,8.424,4,6.959,22523,20
3,7.367,0,6.164,46551,20
2,8.385,4,7.396,9365,20
2,8.121,2,8.121,24443,20
0,8.257,1,5.823,49816,20
1,7.215,0,6.069,30644,20
4,8.567,3,6.833,21188,20
0,8.973,0,8.973,58951,20
2,8.917,2,8.917,133539,20
1,7.593,3,7.363,44466,20
1,8.679,1,8.679,55406,20
1,6.855,0,6.637,39928,20
4,8.43,4,8.43,11503,20
4,6.739,4,6.739,12117,20
4,7.314,0,6.969,28401,20
4,8.255,1,6.917,55518,20
3,8.065,3,8.065,23547,20
2,7.779,2,7.779,8992,20
1,7.805,4,6.722,17028,20
2,8.892,0,7.144,19973,20
2,7.763,1,7.707,8685,20
4,8.377,3,7.314,20054,20
2,7.591,1,7.324,13390,20
4,7.707,4,7.707,9407,20
3,9.157,3,9.157,15639,20
2,8.763,1,7.763,18967,20
4,8.21,4,8.21,9965,20
2,8.713,1,6.006,81685,20
4,8.152,4,8.152,16884,20
3,7.377,1,7.28,22773,20
1,7.74,1,7.74,46962,20
3,9.092,3,9.092,14583,20
2,8.163,0,7.458,10551,20
1,8.31,1,8.31,41997,20
0,7.73,3,6.2,98526,20
4,7.177,0,7.159,9078,20
3,7.041,3,7.041,56346,20
4,7.635,4,7.635,10613,20
2,8.373,3,7.463,10978,20
3,9.286,3,9.286,18458,20
1,7.464,2,7.225,8657,20
0,8.638,0,8.638,32459,20
2,8.097,2,8.097,19371,20
3,8.496,3,8.496,59960,20
3,8.053,3,8.053,44560,20
2,7.276,2,7.276,16226,20
1,10.708,1,10.708,20694,20
4,8.033,2,6.814,29902,20
2,7.778,3,7.172,28501,20
4,7.674,4,7.674,15571,20
4,8.465,0,7.012,29553,20
2,7.811,2,7.811,26803,20
1,8.001,4,7.418,5911,20
1,8.997,2,8.367,46680,20
3,8.529,3,8.529,7601,20
0,8.214,1,6.604,24002,20
4,7.667,3,6.504,42736,20
0,8.161,1,7.915,7788,20
1,6.902,3,6.368,49321,20
1,8.805,4,7.302,37607,20
1,8.061,3,7.109,46152,20
2,8.223,2,8.223,23922,20
3,7.698,4,5.335,20941,20
0,7.677,1,7.441,8511,20
3,7.991,1,7.153,14241,20
1,6.778,2,6.71,17946,20
0,8.957,0,8.957,49415,20
1,8.726,4,7.341,31686,20
1,8.324,4,6.992,83877,20
0,7.662,3,7.655,16929,20
0,7.904,4,7.315,24054,20
0,7.957,1,7.631,16321,20
3,8.293,2,7.722,39945,20
1,8.301,2,7.857,78810,20
4,7.858,2,7.363,24350,20
1,9.875,0,5.886,34050,20
4,8.631,4,8.631,52863,20
3,7.516,1,7.196,58679,20
4,7.238,1,7.069,7801,20
2,8.141,2,8.141,32291,20
3,7.264,4,6.743,9038,20
1,8.22,4,6.547,30478,20
1,8.12,4,6.576,9298,20
4,8.192,3,7.004,37230,20
2,8.814,3,8.791,65841,20
1,9.001,3,6.413,42911,20
3,7.759,3,7.759,45442,20
0,7.788,2,7.353,31125,20
3,7.294,3,7.294,28348,20
3,8.736,3,8.736,24309,20
4,8.736,3,6.282,64794,20
2,8.24,1,6.258,47052,20
4,6.42,4,6.42,44637,20
2,8.069,0,7.179,22189,20
4,7.835,2,7.346,31266,20
1,9.224,1,9.224,19788,20
4,7.41,1,7.03,26257,20
3,8.706,1,7.888,4502,20
0,8.677,0,8.677,25446,20
1,7.339,1,7.339,16283,20
1,8.035,1,8.035,21735,20
3,7.861,2,7.692,2569,20
0,8.16,0,8.16,18050,20
2,8.503,2,8.503,17445,20
0,9.082,0,9.082,11920,20
4,7.598,4,7.598,23718,20
4,9.002,4,9.002,6236,20
1,7.723,4,7.354,10159,20
1,7.793,2,7.776,10260,20
1,8.079,1,8.079,34684,20
4,8.918,4,8.918,6431,20
3,8.899,3,8.899,27108,20
0,8.465,1,7.112,41601,20
4,8.281,3,6.928,6267,20
0,9.009,1,7.643,19529,20
0,8.643,2,8.44,9581,20
4,8.617,3,7.701,11057,20
3,7.758,0,7.42,36111,20
0,7.682,3,5.761,27327,20
2,7.426,0,7.061,39188,20
1,7.989,1,7.989,36898,20
0,8.334,0,8.334,60888,20
0,7.402,4,7.126,19217,20
2,7.681,4,6.925,19761,20
1,7.054,1,7.054,11022,20
2,8.774,2,8.774,11621,20
4,7.658,1,7.254,19773,20
0,7.958,0,7.958,32292,20
4,8.445,2,7.909,16697,20
4,7.629,2,7.575,11203,20
4,9.772,1,7.427,72117,20
0,8.557,2,7.734,40050,20
4,7.92,4,7.92,90826,20
2,7.144,4,7.055,26277,20
3,9.353,2,6.293,127791,20
1,8.174,3,6.717,31337,20
0,8.422,0,8.422,51761,20
0,9.104,4,7.439,11793,20
4,9.189,4,9.189,11414,20
3,7.854,1,7.655,49240,20
0,7.837,1,7.686,52803,20
4,8.837,0,6.548,28633,20
1,9.166,1,9.166,18629,20
2,7.815,1,7.152,6243,20
0,8.787,1,7.709,17311,20
3,8.019,3,8.019,42604,20
0,8.248,4,8.078,17119,20
3,7.325,2,6.671,17778,20
1,7.248,3,6.949,23243,20
1,7.273,1,7.273,37475,20
1,7.638,4,6.395,39221,20
0,6.761,4,6.651,36402,20
3,8.976,0,7.672,8883,20
1,9.634,1,9.634,7513,20
4,7.944,0,6.991,50725,20
4,7.369,4,7.369,13394,20
4,7.381,0,7.27,12375,20
3,9.071,4,7.535,9878,20
0,7.767,0,7.767,23174,20
3,8.07,3,8.07,16856,20
3,9.044,0,7.547,2978,20
4,8.85,2,7.597,49682,20
3,7.181,1,6.613,24960,20
1,9.133,2,7.642,91915,20
3,7.701,0,7.361,16142,20
1,9.299,1,9.299,14603,20
2,7.221,4,6.61,31435,20
1,7.811,1,7.811,27432,20
3,7.911,3,7.911,27478,20
1,8.228,1,8.228,25763,20
1,8.122,0,7.962,52029,20
2,8.518,2,8.518,14940,20
3,8.616,3,8.616,49833,20
4,7.045,4,7.045,127896,20
2,7.978,1,7.25,29046,20
4,7.983,3,6.808,37910,20
4,8.358,4,8.358,50682,20
1,7.901,1,7.901,89172,20
0,7.819,3,7.478,22471,20
2,9.135,0,8.236,21398,20
3,8.085,3,8.085,18479,20
3,8.169,1,7.69,9336,20
2,8.635,4,8.459,8699,20
4,7.262,0,7.024,14363,20
4,7.627,1,7.153,30292,40
3,8.838,1,8.586,27564,40
2,6.987,2,6.987,88895,40
3,8.197,3,8.197,28207,40
3,7.689,2,7.289,50588,40
2,7.447,4,7.327,128146,40
1,7.692,2,7.473,79713,40
1,8.005,4,7.133,102958,40
4,7.261,1,5.873,35499,40
3,7.156,3,7.156,26427,40
4,7.443,2,6.762,82362,40
3,8.059,3,8.059,67836,40
2,8.842,4,6.89,86799,40
1,7.209,4,6.932,33905,40
0,8.096,4,7.916,24241,40
0,8.231,0,8.231,80797,40
0,8.136,0,8.136,68687,40
4,7.73,4,7.73,49698,40
4,8.525,2,7.213,79785,40
3,7.577,3,7.577,21730,40
4,7.538,4,7.538,66837,40
3,7.929,2,7.444,40431,40
1,8.516,4,8.084,120269,40
0,8.339,3,7.287,160202,40
0,7.959,0,7.959,126538,40
1,8.679,1,8.679,75160,40
4,8.023,4,8.023,83595,40
1,7.693,0,6.41,56175,40
0,8.342,3,7.587,95759,40
3,7.695,3,7.695,47827,40
0,10.014,1,7.534,41287,40
4,7.761,0,7.639,15950,40
4,9.106,4,9.106,31514,40
1,8.062,4,7.246,35584,40
2,7.39,1,6.873,83376,40
0,9.926,3,6.685,97743,40
4,8.742,4,8.742,56312,40
3,7.857,0,7.161,85995,40
4,7.958,2,7.403,60058,40
1,7.729,4,6.825,54689,40
2,8.064,4,7.326,23450,40
4,8.601,4,8.601,15181,40
0,7.321,0,7.321,70452,40
2,8.894,0,7.43,17886,40
2,7.395,2,7.395,83465,40
0,7.722,0,7.722,43468,40
0,8.078,0,8.078,57800,40
0,8.604,0,8.604,46478,40
1,7.715,1,7.715,20857,40
1,9.362,1,9.362,49733,40
2,8.548,2,8.548,25708,40
2,8.135,4,7.846,63118,40
3,9.236,2,7.613,40429,40
4,7.46,1,6.824,27709,40
3,9.885,3,9.885,97517,40
1,8.695,3,7.87,11600,40
2,8.1,2,8.1,161552,40
2,8.733,1,7.751,52522,40
3,8.75,3,8.75,36373,40
1,7.853,2,6.61,82203,40
0,8.338,4,7.961,40147,40
4,7.218,4,7.218,44745,40
0,7.549,0,7.549,85703,40
0,8.11,3,7.29,221017,40
2,9.128,2,9.128,26576,40
1,8.32,3,7.624,39829,40
3,8.835,3,8.835,17818,40
0,8.179,4,7.901,56942,40
2,8.287,2,8.287,22147,40
3,8.637,1,7.239,13263,40
3,7.15,3,7.15,187903,40
0,8.838,0,8.838,21341,40
3,8.441,3,8.441,61894,40
4,7.193,2,4.757,42656,40
1,8.409,3,7.384,145365,40
1,8.367,4,8.307,65066,40
2,7.34,3,7.057,99191,40
3,7.369,2,7.122,12634,40
1,8.696,1,8.696,130127,40
3,7.238,4,7.026,72821,40
2,8.23,4,7.409,33786,40
1,7.863,2,7.163,95823,40
3,7.38,4,6.478,34021,40
3,7.294,2,7.146,42254,40
4,8.085,4,8.085,65168,40
3,9.182,3,9.182,118841,40
2,7.726,0,6.264,133576,40
4,8.17,2,6.527,31740,40
1,8.389,1,8.389,34059,40
2,8.01,0,6.403,31934,40
1,7.989,0,7.321,44832,40
1,9.312,1,9.312,34441,40
1,7.889,3,7.141,70069,40
2,8.599,0,7.908,37266,40
2,8.524,2,8.524,51930,40
1,8.439,0,7.919,24399,40
4,8.284,3,7.13,53291,40
1,8.259,1,8.259,117147,40
1,7.9,3,7.079,25880,40
0,7.001,3,6.294,94535,40
4,8.787,3,8.095,64504,40
4,8.199,1,7.295,90696,40
0,8.066,0,8.066,74924,40
1,7.598,0,7.581,56291,40
3,8.227,2,6.977,83989,40
1,8.551,2,8.44,21603,40
4,9.16,4,9.16,45321,40
1,7.55,4,7.336,63919,40
4,7.225,1,6.92,32617,40
2,7.532,4,7.353,20058,40
2,9.826,4,7.281,145815,40
0,8.727,0,8.727,33035,40
4,8.599,4,8.599,23574,40
3,8.072,3,8.072,49828,40
2,7.676,2,7.676,18734,40
1,9.198,3,7.467,43783,40
1,7.206,0,7.137,44221,40
4,7.758,4,7.758,30208,40
0,8.734,3,8.182,58480,40
1,8.054,3,7.132,115269,40
3,8.525,3,8.525,50629,40
0,8.175,3,8.08,18204,40
1,8.601,1,8.601,71622,40
4,8.795,4,8.795,21974,40
3,8.317,3,8.317,57367,40
2,8.977,3,7.679,66018,40
1,7.943,1,7.943,57805,40
1,7.71,3,7.103,34795,40
2,8.451,4,8.324,18228,40
4,8.091,4,8.091,86670,40
2,8.505,2,8.505,31857,40
1,8.175,0,6.414,85702,40
1,8.091,0,7.544,48560,40
2,7.96,4,6.715,23664,40
2,7.725,2,7.725,34200,40
2,7.037,3,6.667,48898,40
0,7.393,4,7.127,44438,40
1,9.394,0,5.524,67951,40
3,6.816,3,6.816,82554,40
1,7.348,1,7.348,50047,40
3,7.307,3,7.307,91811,40
1,8.699,1,8.699,29256,40
0,8.544,0,8.544,38248,40
4,8.58,4,8.58,201001,40
1,9.121,0,8.114,27785,40
3,7.789,3,7.789,24207,40
4,8.286,0,6.868,35121,40
2,8.944,1,7.805,63895,40
0,7.472,3,7.212,19014,40
4,8.319,3,7.091,57036,40
4,7.437,0,7.144,44373,40
2,8.137,3,6.527,40202,40
3,9.626,1,5.692,67427,40
4,9.027,2,8.462,16733,40
4,7.7,2,7.232,22751,40
1,7.884,0,7.454,87358,40
1,6.811,3,6.369,73657,40
3,7.742,3,7.742,32740,40
0,8.669,3,8.609,50330,40
1,8.464,1,8.464,40863,40
4,8.656,4,8.656,51015,40
4,7.842,0,7.153,101056,40
3,8.616,1,7.604,42866,40
4,8.037,4,8.037,29104,40
1,8.95,2,7.628,107583,40
0,7.8,2,7.515,81700,40
1,8.123,2,6.771,34460,40
1,8.087,1,8.087,83501,40
2,7.194,3,7.085,39719,40
2,8.232,3,6.754,82796,40
2,7.342,2,7.342,23529,40
2,7.897,2,7.897,88759,40
2,8.278,3,7.667,110431,40
3,8.227,3,8.227,62457,40
0,7.583,4,6.607,85522,40
0,6.969,0,6.969,39201,40
1,7.65,3,7.548,40030,40
2,8.443,2,8.443,74117,40
4,7.942,1,7.051,30975,40
2,7.052,2,7.052,22232,40
4,7.888,2,6.021,100926,40
1,7.404,1,7.404,104836,40
4,6.961,4,6.961,93871,40
0,7.945,2,7.703,51281,40
1,7.584,2,7.469,63962,40
1,7.623,1,7.623,19183,40
1,8.968,4,8.496,29296,40
2,7.573,4,7.483,54088,40
2,7.38,4,6.954,104462,40
1,7.577,1,7.577,24195,40
3,6.951,3,6.951,66842,40
4,7.359,0,6.294,83474,40
4,7.73,0,6.908,51210,40
1,8.232,0,6.582,34940,40
4,7.795,0,6.736,146232,40
1,9.602,1,9.602,78746,40
1,8.185,1,8.185,88484,40
1,7.948,3,6.865,70074,40
3,7.773,1,7.743,37070,40
3,7.852,2,7.375,36496,40
2,8.75,1,7.763,154552,50
2,7.374,2,7.374,72767,50
2,8.794,4,8.184,28047,50
4,8.676,3,8.642,131698,50
1,7.745,1,7.745,59616,50
4,9.396,1,7.281,54090,50
4,8.039,2,6.796,51276,50
0,9.657,1,9.048,296660,50
2,9.646,3,8.057,11976,50
1,7.855,1,7.855,58536,50
3,8.255,1,8.057,15927,50
1,8.127,2,5.676,85086,50
0,7.929,0,7.929,166755,50
3,9.151,4,8.812,72192,50
0,8.632,4,7.683,128593,50
3,7.921,1,7.63,63162,50
1,7.657,1,7.657,101147,50
4,8.561,4,8.561,59656,50
2,8.586,0,6.371,50710,50
1,8.214,2,7.207,106661,50
0,8.217,0,8.217,67604,50
4,7.063,1,6.931,38548,50
0,7.715,0,7.715,174459,50
0,8.778,0,8.778,49497,50
1,8.592,3,6.548,37540,50
4,7.656,4,7.656,84967,50
1,8.519,1,8.519,38779,50
4,8.663,2,6.999,74000,50
3,8.037,3,8.037,174501,50
3,7.398,0,6.943,107012,50
1,8.077,3,6.703,179897,50
4,6.999,2,6.936,48421,50
3,8.678,2,8.185,173702,50
1,8.853,2,7.884,63489,50
3,8.824,3,8.824,170960,50
3,8.195,4,6.927,124145,50
1,8.137,4,7.042,97562,50
1,7.754,2,5.695,212919,50
2,9.52,4,8.137,128049,50
4,7.195,4,7.195,71163,50
4,7.213,1,6.297,55365,50
3,7.929,3,7.929,216029,50
3,7.748,4,7.46,61550,50
1,8.05,4,6.583,94555,50
4,7.898,3,7.444,112465,50
4,8.413,4,8.413,29803,50
4,7.83,4,7.83,52500,50
0,9.055,0,9.055,16928,50
4,8.219,4,8.219,94103,50
4,8.424,4,8.424,56164,50
1,6.791,1,6.791,42994,50
4,8.906,2,7.481,186492,50
3,8.089,3,8.089,154735,50
3,9.016,3,9.016,27785,50
3,8.229,2,7.577,195468,50
4,7.255,3,6.633,156340,50
3,6.757,2,6.749,81815,50
0,8.088,0,8.088,12122,50
2,7.396,4,7.298,36479,50
0,9.076,2,7.66,47628,50
0,7.404,0,7.404,95560,50
1,7.862,0,6.938,75122,50
4,7.638,2,5.705,108838,50
2,8.471,3,7.837,160675,50
1,8.04,1,8.04,168792,50
1,8.456,3,8.424,98951,50
0,8.333,4,5.731,108449,50
4,8.305,1,6.815,14826,50
1,7.755,1,7.755,127793,50
2,7.513,2,7.513,57671,50
0,7.52,2,7.051,59800,50
1,8.012,1,8.012,66520,50
1,7.295,1,7.295,102211,50
0,7.767,0,7.767,89373,50
2,7.433,2,7.433,85055,50
0,8.292,0,8.292,57762,50
4,7.583,3,6.473,84633,50
1,7.732,3,7.6,94448,50
4,9.123,2,7.761,95958,50
1,7.473,1,7.473,46069,50
4,7.735,4,7.735,260233,50
2,9.162,0,8.816,17896,50
2,8.143,2,8.143,73565,50
0,7.575,0,7.575,25412,50
1,8.285,1,8.285,70428,50
4,7.423,2,7.115,94984,50
4,7.696,3,7.664,73693,50
2,6.799,3,6.169,35325,50
4,9.684,1,6.466,54017,50
0,8.265,0,8.265,106143,50
1,7.815,1,7.815,80332,50
0,8.825,4,8.086,57450,50
3,8.457,3,8.457,67973,50
1,7.862,3,6.933,157214,50
3,7.046,1,6.858,30422,50
1,8.294,4,7.488,55880,50
2,8.119,2,8.119,93834,50
4,7.289,4,7.289,45425,50
2,9.137,3,6.907,165844,50
3,8.154,2,8.077,85835,50
1,8.945,0,8.466,71852,50
4,7.023,1,6.126,110240,50
2,8.378,2,8.378,125086,50
3,7.092,2,6.047,155724,50
2,9.978,2,9.978,105925,50
3,6.918,3,6.918,60004,50
2,8.092,2,8.092,22079,50
1,8.38,2,8.043,185693,50
3,8.886,3,8.886,56943,50
0,8.215,0,8.215,51307,50
2,7.456,1,6.402,201430,50
3,9.353,3,9.353,56918,50
0,9.731,0,9.731,28347,50
3,7.831,3,7.831,181518,50
4,8.041,3,7.773,36980,50
3,7.33,0,7.147,154299,50
2,9.017,2,9.017,163985,50
1,7.761,0,7.427,227317,50
4,8.628,4,8.628,31716,50
2,8.644,3,8.02,97155,50
0,7.533,0,7.533,156040,50
3,7.277,3,7.277,45890,50
0,10.138,3,7.482,23943,50
2,7.984,1,7.114,58716,50
2,9.37,2,9.37,80102,50
2,7.164,3,6.783,20907,50
0,9.027,0,9.027,245138,50
3,8.352,1,7.987,67337,50
2,8.27,2,8.27,22981,50
0,7.817,4,7.616,38391,50
4,7.579,4,7.579,89658,50
3,7.984,3,7.984,20681,50
0,8.222,0,8.222,37358,50
1,8.651,2,8.51,144356,50
0,8.963,2,6.856,135244,50
3,7.462,4,7.064,76083,50
1,9.874,4,9.454,217266,50
4,7.729,3,7.36,30124,50
3,9.231,3,9.231,97548,50
0,8.26,0,8.26,52945,50
3,8.477,4,8.06,65916,50
0,8.287,3,7.956,38740,50
2,8.546,0,7.997,105599,50
4,8.562,1,5.552,376319,50
0,8.333,0,8.333,71746,50
3,9.033,1,6.126,34686,50
2,8.776,0,5.894,80153,50
0,8.114,0,8.114,31368,50
2,8.347,2,8.347,26826,50
3,7.64,2,7.112,80654,50
4,9.012,1,8.518,43304,50
2,8.051,4,7.349,20915,50
0,8.528,3,8.489,176434,50
0,8.42,3,7.22,298888,50
1,7.478,4,7.352,44060,50
0,8.731,3,6.918,77664,50
4,7.91,4,7.91,37496,50
4,8.509,3,8.043,33668,50
4,7.792,2,6.056,73740,50
0,7.858,1,7.656,71340,50
1,8.258,1,8.258,15229,50
3,8.093,4,7.617,78181,50
1,7.803,3,7.559,37684,50
0,8.111,4,7.427,133379,50
4,9.305,0,6.954,50608,50
1,7.843,0,6.362,31562,50
1,8.988,4,7.668,75243,50
0,8.707,4,5.794,94569,50
1,8.693,4,8.333,112037,50
4,8.977,2,7.715,257977,50
0,6.825,2,6.577,73303,50
2,7.448,1,7.049,43322,50
2,8.699,4,7.796,159929,50
3,7.777,3,7.777,42768,50
0,8.361,0,8.361,73599,50
1,7.765,1,7.765,24639,50
2,8.448,2,8.448,63828,50
1,8.156,1,8.156,104160,50
3,8.519,3,8.519,93713,50
0,7.222,0,7.222,88124,50
2,9.355,2,9.355,107485,50
3,8.937,3,8.937,29634,50
0,9.38,0,9.38,101145,50
1,8.613,3,8.244,118419,50
3,8.01,4,6.832,53574,50
0,8.849,1,7.698,18672,50
3,8.809,3,8.809,98204,50
1,7.516,0,6.799,107360,50
1,8.531,2,8.026,201867,50
2,8.143,1,7.696,85686,50
3,9.172,3,9.172,42450,50
1,8.056,1,8.056,38048,50
1,8.512,1,8.512,39572,50
2,8.117,2,8.117,62930,50
3,7.836,1,5.68,96595,50
2,7.634,3,7.201,139514,50
2,8.315,2,8.315,41527,50
3,7.845,3,7.845,40009,50
4,8.11,4,8.11,119468,50
3,8.17,3,8.17,53040,50
4,7.729,1,4.901,403179,100
4,8.532,4,8.532,74312,100
0,7.842,1,6.945,186558,100
1,8.009,2,7.476,338926,100
0,7.533,1,6.86,271089,100
3,7.885,2,7.6,122072,100
4,8.104,4,8.104,82294,100
4,8.794,1,7.34,192614,100
0,8.174,0,8.174,130877,100
0,8.86,4,7.215,189236,100
2,7.645,3,6.423,268591,100
4,8.974,1,6.514,245547,100
4,7.957,2,6.608,143735,100
0,7.073,0,7.073,225574,100
4,7.694,4,7.694,391005,100
4,10.297,4,10.297,224397,100
1,7.627,2,7.609,248215,100
0,7.566,0,7.566,191960,100
