$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations,No_units
4,8.224,4,8.224,7083,20
3,8.539,4,8.444,11290,20
2,7.025,0,6.911,16195,20
3,7.86,3,7.86,50531,20
0,7.877,0,7.877,13843,20
0,7.944,0,7.944,31900,20
0,8.865,4,7.271,19282,20
1,8.546,0,8.152,20284,20
2,8.672,2,8.672,23153,20
0,8.078,3,7.419,23332,20
3,9.968,1,7.821,48065,20
3,8.752,1,6.605,12332,20
3,7.484,3,7.484,40833,20
2,8.135,2,8.135,14837,20
3,6.989,1,6.95,12897,20
2,9.334,3,7.471,11672,20
1,7.413,4,7.006,9397,20
3,8.603,4,6.973,17847,20
2,8.392,4,7.836,15785,20
4,8.021,0,7.141,31901,20
4,9.623,3,7.315,35657,20
4,9.438,1,7.667,14146,20
2,6.746,0,6.225,28378,20
4,8.116,3,6.895,44679,20
0,7.61,3,5.733,18051,20
1,8.061,2,7.473,48233,20
4,8.426,2,7.973,23852,20
2,9.193,4,8.456,95283,20
3,8.823,3,8.823,8726,20
2,7.905,2,7.905,12471,20
3,8.024,3,8.024,28219,20
0,8.824,4,7.097,16093,20
0,8.143,1,7.619,32361,20
1,8.677,0,7.499,23711,20
3,7.383,3,7.383,37267,20
0,7.954,2,7.742,19655,20
1,8.307,1,8.307,56615,20
1,6.812,1,6.812,5979,20
3,8.528,1,8.317,54359,20
1,7.734,1,7.734,6054,20
0,7.125,0,7.125,61203,20
3,7.102,4,5.627,42138,20
1,8.401,1,8.401,13959,20
3,8.352,1,8.085,22694,20
1,7.676,0,6.917,11046,20
0,8.146,4,8.126,30665,20
4,8.358,4,8.358,43242,20
3,8.442,3,8.442,12034,20
3,8.243,3,8.243,21824,20
1,8.019,0,7.61,26802,20
1,8.284,1,8.284,53380,40
1,10.409,1,10.409,77682,40
0,10.362,0,10.362,68443,40
0,8.512,2,7.271,215968,40
4,8.587,4,8.587,15500,40
3,8.141,0,6.578,29146,40
1,7.798,1,7.798,24302,40
4,8.698,3,7.57,165396,40
4,8.656,3,6.83,110170,40
0,7.809,0,7.809,78392,40
2,8.001,0,7.273,36582,40
1,7.846,4,7.333,27270,40
4,7.751,0,7.009,74246,40
0,7.617,0,7.617,137718,40
1,9.041,4,7.924,11975,40
4,7.724,4,7.724,59210,40
1,7.711,1,7.711,16058,40
3,8.09,0,7.899,18567,40
3,7.496,3,7.496,55367,40
3,8.219,1,7.324,80206,40
0,7.224,4,6.548,25411,40
3,8.527,0,7.089,59168,40
0,8.408,4,8.114,49053,40
3,7.03,1,6.799,83227,40
0,8.722,4,6.203,34267,40
2,8.646,2,8.646,46449,40
2,7.606,2,7.606,22902,40
3,8.564,2,5.765,240394,40
1,8.315,1,8.315,67701,40
1,8.749,1,8.749,30851,40
1,7.644,3,7.575,42318,40
1,7.809,4,7.54,167415,40
3,7.663,3,7.663,13816,40
2,8.07,2,8.07,50833,40
1,8.41,3,8.025,43110,40
3,8.536,0,6.948,29482,40
1,7.709,0,7.054,105253,40
0,7.736,1,7.067,27118,40
2,8.959,3,6.952,164634,40
0,6.441,0,6.441,43536,40
1,9.053,1,9.053,28916,40
4,8.677,3,7.305,43980,40
3,7.9,3,7.9,48781,40
0,7.48,0,7.48,24139,40
4,7.913,2,7.901,69398,40
3,9.043,3,9.043,31173,40
3,7.967,3,7.967,84806,40
4,6.68,4,6.68,19874,40
4,8.951,0,7.483,60656,40
4,8.647,4,8.647,85297,40
3,7.804,1,7.349,55796,40
2,8.079,0,8.058,56505,40
2,8.44,3,6.953,51268,40
3,7.558,0,7.41,29083,40
2,8.697,1,7.725,10242,40
0,7.466,4,6.466,46686,40
1,8.635,4,7.38,76175,40
3,7.142,3,7.142,56155,40
1,7.725,4,7.426,125812,40
3,7.678,4,7.079,110167,40
3,8.192,2,7.2,83572,40
1,8.862,4,5.955,99783,40
0,7.408,0,7.408,73326,40
4,9.498,4,9.498,35854,40
1,7.959,4,7.332,38735,40
4,7.887,1,5.559,100291,40
3,7.833,4,7.038,33002,40
1,8.823,4,6.394,92654,40
2,9.446,1,9.253,85163,40
1,8.014,1,8.014,23963,40
0,8.215,0,8.215,149132,40
3,8.495,2,8.367,42643,40
2,9.283,0,7.403,95707,40
0,7.99,1,7.55,32554,40
2,8.568,1,7.98,28151,40
1,7.03,4,6.926,40293,40
3,8.067,4,7.954,70860,40
0,7.257,0,7.257,17648,40
0,7.369,1,7.06,124760,40
1,7.29,1,7.29,50703,40
1,8.896,3,7.893,110121,40
0,8.335,0,8.335,34172,40
1,9.438,1,9.438,45711,40
3,7.937,1,7.604,33624,40
1,8.826,1,8.826,52644,40
2,8.279,2,8.279,14232,40
2,8.266,2,8.266,58764,40
2,7.371,1,7.119,69053,40
4,8.097,2,7.895,32554,40
0,8.664,4,7.391,91798,40
3,9.33,3,9.33,94201,40
2,7.671,2,7.671,181206,40
1,8.705,1,8.705,91747,40
1,8.106,0,7.607,20443,40
0,8.047,4,7.603,31210,40
3,7.519,1,7.476,39695,40
4,7.499,4,7.499,66582,40
1,7.54,1,7.54,29814,40
2,7.375,2,7.375,32739,40
4,7.085,2,6.834,17966,40
4,9.872,4,9.872,241812,50
0,7.761,1,7.079,51326,50
1,8.679,2,6.442,143565,50
4,7.2,1,7.157,148387,50
0,7.605,3,6.709,111689,50
2,8.254,4,6.607,89121,50
0,8.973,1,6.348,47605,50
2,8.264,2,8.264,92873,50
2,8.486,3,8.155,113806,50
0,7.509,1,7.114,75698,50
1,10.009,1,10.009,164465,50
4,8.999,0,8.854,83819,50
0,7.284,0,7.284,186158,50
2,7.438,1,7.071,63787,50
1,8.09,0,7.436,33697,50
1,8.326,1,8.326,35184,50
3,9.246,0,7.952,116428,50
0,8.969,1,8.345,129146,50
1,8.327,1,8.327,98465,50
4,8.942,1,8.473,71358,50
2,7.882,1,7.089,36932,50
4,8.001,3,7.312,32741,50
0,8.661,0,8.661,23320,50
0,8.036,2,7.934,40527,50
0,9.345,1,7.747,32403,50
2,7.712,2,7.712,147149,50
4,7.098,1,6.586,201204,50
3,8.141,3,8.141,44280,50
4,7.999,3,6.979,114491,50
3,7.639,3,7.639,47876,50
3,8.299,4,7.233,157878,50
3,9.366,3,9.366,80918,50
1,7.237,4,6.31,61805,50
4,8.953,4,8.953,174214,50
0,7.229,4,6.541,47157,50
2,7.645,3,7.251,155294,50
1,8.006,4,7.589,38017,50
0,6.796,1,5.772,158804,50
2,8.554,2,8.554,25011,50
4,7.383,4,7.383,46408,50
3,8.964,3,8.964,38627,50
0,7.929,2,6.81,70902,50
4,7.085,4,7.085,180146,50
2,8.559,0,7.419,81684,50
2,9.156,1,7.923,87877,50
0,8.724,1,7.876,11971,50
2,7.6,2,7.6,57203,50
2,7.674,2,7.674,118626,50
1,9.36,2,8.741,31220,50
1,8.56,2,8.285,93934,50
2,7.792,3,7.69,112977,50
2,8.632,2,8.632,24109,50
4,8.557,2,7.607,26483,50
4,8.556,3,7.942,47775,50
1,8.579,4,7.033,169131,50
2,9.252,2,9.252,53444,50
1,7.496,2,6.738,114857,50
3,8.828,4,8.277,52646,50
0,7.591,0,7.591,103512,50
1,7.827,0,7.213,90384,50
4,8.218,2,7.963,13899,50
0,8.277,0,8.277,193664,50
4,8.433,4,8.433,186240,50
4,8.215,2,7.509,152199,50
2,8.47,2,8.47,52991,50
3,8.858,3,8.858,83913,50
2,7.159,3,7.011,42291,50
1,7.916,2,7.873,100305,50
1,7.707,4,6.802,105890,50
3,8.224,3,8.224,78089,50
2,8.07,4,6.868,110612,50
3,7.038,1,6.938,42299,50
3,7.661,3,7.661,44991,50
1,7.491,4,6.94,24403,50
3,7.585,3,7.585,138231,50
1,7.077,1,7.077,28919,50
2,8.917,1,7.45,112623,50
1,7.668,1,7.668,198823,50
2,7.838,2,7.838,58321,50
0,8.46,0,8.46,45983,50
4,7.729,2,7.525,97484,50
0,8.669,0,8.669,74102,50
3,7.602,3,7.602,45624,50
4,7.44,4,7.44,70223,50
3,7.22,3,7.22,62201,50
2,7.909,1,7.754,124499,50
3,7.901,4,6.91,117563,50
1,8.358,2,7.661,383247,50
4,7.745,4,7.745,31065,50
0,7.467,1,7.451,73369,50
4,8.051,0,7.18,194831,50
3,7.462,3,7.462,20675,50
0,7.938,3,5.664,112380,50
4,9.285,4,9.285,96559,50
4,7.547,1,7.315,90567,50
2,8.553,0,8.162,47399,50
2,8.414,2,8.414,69801,50
0,8.906,1,7.631,70144,50
3,9.093,4,8.185,74597,50
3,8.356,3,8.356,56869,50
0,7.455,4,6.414,139548,100
4,8.018,4,8.018,484123,100
1,7.646,3,7.071,74929,100
1,8.394,1,8.394,261359,100
4,7.339,1,6.907,114025,100
1,8.647,2,8.318,251502,100
4,8.286,1,7.22,341805,100
4,7.248,3,7.182,76052,100
4,7.433,0,6.816,260487,100
0,7.729,3,7.286,137440,100
1,7.967,0,7.752,83237,100
3,7.113,1,6.937,305781,100
0,8.729,4,8.652,59230,100
2,8.099,1,7.227,489341,100
1,8.402,2,7.29,133088,100
2,6.493,2,6.493,124551,100
1,9.024,0,6.304,182972,100
2,7.856,3,6.883,726977,100
1,8.046,2,7.91,179703,100
4,7.512,2,6.18,183497,100
1,8.441,1,8.441,146017,100
0,8.133,1,7.986,267277,100
0,8.51,3,6.814,149107,100
0,8.04,4,7.608,240316,100
1,7.551,1,7.551,263923,100
1,7.823,0,6.896,127174,100
0,7.438,3,6.861,470926,100
2,8.631,2,8.631,191159,100
2,7.624,4,6.74,187603,100
3,8.018,4,7.292,144129,100
0,8.139,4,6.727,114667,100
2,7.534,0,7.528,154301,100
4,9.302,4,9.302,105202,100
2,7.801,1,7.502,579972,100
4,8.376,4,8.376,654483,100
4,8.11,4,8.11,160828,100
4,9.036,2,6.954,64174,100
0,7.819,4,5.814,229716,100
4,8.515,0,7.541,189092,100
4,8.735,4,8.735,381837,100
2,9.885,4,6.966,188737,100
2,7.623,3,7.15,295762,100
4,7.861,4,7.861,121822,100
4,7.844,4,7.844,375803,100
2,8.51,2,8.51,322675,100
0,8.106,4,7.899,89643,100
1,7.976,2,6.614,491422,100
3,7.323,4,6.358,596149,100
1,7.659,1,7.659,270146,100
1,7.566,1,7.566,618008,100
4,8.064,3,7.737,327636,100
3,6.672,0,6.577,191787,100
3,6.877,2,6.715,92725,100
0,7.552,4,7.486,116282,100
2,8.115,0,7.473,168979,100
3,8.535,3,8.535,206185,100
1,9.815,1,9.815,124619,100
2,8.761,3,7.155,391182,100
4,7.244,2,7.244,1089982,100
2,7.917,4,7.273,188310,100
4,7.909,4,7.909,287962,100
3,7.489,4,6.464,99924,100
3,8.461,3,8.461,101710,100
4,8.558,1,7.905,72708,100
1,7.879,0,7.53,319576,100
4,9.289,4,9.289,344680,100
1,7.56,3,7.511,328420,100
4,8.422,4,8.422,137786,100
3,7.845,1,7.597,437329,100
1,7.77,2,6.504,199414,100
3,8.048,2,7.968,513773,100
3,8.291,3,8.291,194967,100
3,9.149,0,8.001,58116,100
2,7.157,3,7.151,384526,100
1,8.693,0,8.309,218972,100
3,6.833,3,6.833,112470,100
0,7.631,4,5.832,223811,100
3,9.804,3,9.804,120305,100
2,8.342,2,8.342,175047,100
2,8.16,2,8.16,96164,100
1,8.272,1,8.272,37530,100
0,7.953,3,6.881,75913,100
0,7.618,2,6.995,239701,100
3,8.097,0,7.753,551499,100
4,8.238,0,7.046,308325,100
3,7.988,2,7.719,145240,100
3,8.232,2,8.122,204004,100
0,7.324,3,7.2,162314,100
1,8.965,1,8.965,268406,100
3,7.399,1,6.946,308634,100
0,8.076,0,8.076,253599,100
2,9.37,2,9.37,418360,100
3,8.549,3,8.549,220922,100
1,8.066,1,8.066,422354,100
3,7.525,2,7.514,475041,100
2,8.129,3,7.664,167588,100
1,8.78,2,6.99,52752,100
0,8.13,2,7.59,130224,100
0,7.844,0,7.844,159303,100
2,8.037,1,7.923,81134,100
