$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate,Average p-value,Wrong_ranking_cost_without_no_proportion
0.0,0.0,3.2,3.2,0.564,0.7043069032468904,1.075
0.0,0.0,3.3,3.3,0.552,0.7796211289715724,1.329
0.0,0.0,3.4,3.4,0.498,0.8019528161352387,1.375
0.0,0.0,3.5,3.5,0.478,0.8459692671689748,1.501
0.0,0.0,3.6,3.6,0.434,0.8707851269794484,1.731
0.0,0.0,3.7,3.7,0.39,0.9141573231521168,1.915
0.0,0.0,3.8,3.8,0.386,0.9387690724063187,2.119
0.0,0.0,3.9,3.9,0.382,0.9509610132272007,2.265
0.0,0.0,4.0,4.0,0.314,0.9641485520824705,2.43
0.0,0.0,4.1,4.1,0.322,0.9823829764247738,2.679
0.0,0.0,4.2,4.2,0.324,0.9843397832356707,2.994
0.0,0.0,4.3,4.3,0.266,0.9904417824646703,3.174
0.0,0.0,4.4,4.4,0.282,0.9972690807041914,3.209
0.0,0.0,4.5,4.5,0.28,0.9959033789847062,3.53
0.0,0.0,4.6,4.6,0.274,0.9986345403520958,3.584
0.0,0.0,4.7,4.7,0.274,0.9986345403520956,3.833
0.0,0.0,4.8,4.8,0.232,1.0,3.996
0.0,0.0,4.9,4.9,0.23,1.0,4.03
0.0,0.0,5.0,5.0,0.232,1.0,4.284
0.0,0.0,5.1,5.1,0.214,1.0,4.396
0.0,0.0,5.2,5.2,0.156,1.0,4.467
0.0,0.0,5.3,5.3,0.19,1.0,4.582
0.0,0.0,5.4,5.4,0.2,1.0,4.611
0.0,0.0,5.5,5.5,0.206,1.0,4.692
0.0,0.0,5.6,5.6,0.222,1.0,4.762
0.0,0.0,5.7,5.7,0.188,1.0,4.813
0.0,0.0,5.8,5.8,0.198,1.0,4.815
0.0,0.0,5.9,5.9,0.224,1.0,4.894
0.0,0.0,6.0,6.0,0.238,1.0,4.892
0.0,0.0,6.1,6.1,0.23,1.0,4.93
0.0,0.0,6.2,6.2,0.176,1.0,4.952
0.0,0.0,6.3,6.3,0.18,1.0,4.966
0.0,0.0,6.4,6.4,0.188,1.0,4.959
0.0,0.0,6.5,6.5,0.19,1.0,4.976
0.0,0.0,6.6,6.6,0.17,1.0,4.986
0.0,0.0,6.7,6.7,0.222,1.0,4.986
0.0,0.0,6.8,6.8,0.186,1.0,4.998
0.0,0.0,6.9,6.9,0.23,1.0,4.999
0.0,0.0,7.0,7.0,0.206,1.0,4.991
0.0,0.0,7.1,7.1,0.226,1.0,4.994
0.0,0.0,7.2,7.2,0.198,1.0,4.993
0.0,0.0,7.3,7.3,0.21,1.0,5.0
0.0,0.0,7.4,7.4,0.184,1.0,4.995
0.0,0.0,7.5,7.5,0.24,1.0,4.997
0.0,0.0,7.6,7.6,0.19,1.0,5.0
0.0,0.0,7.7,7.7,0.19,1.0,5.0
0.0,0.0,7.8,7.8,0.21,1.0,4.999
0.0,0.0,7.9,7.9,0.218,1.0,4.998
0.0,0.0,8.0,8.0,0.238,1.0,4.997
0.0,0.0,8.1,8.1,0.196,1.0,4.998
0.0,0.0,8.2,8.2,0.228,1.0,4.998
0.0,0.0,8.3,8.3,0.19,1.0,4.995
0.0,0.0,8.4,8.4,0.218,1.0,5.0
0.0,0.0,8.5,8.5,0.228,1.0,4.998
0.0,0.0,8.6,8.6,0.212,1.0,4.999
0.0,0.0,8.7,8.7,0.222,1.0,5.0
0.0,0.0,8.8,8.8,0.224,1.0,4.999
0.0,0.0,8.9,8.9,0.194,1.0,5.0
0.0,0.0,9.0,9.0,0.232,1.0,4.999
0.0,0.0,9.1,9.1,0.22,1.0,4.999
0.0,0.0,9.2,9.2,0.234,1.0,4.997
0.0,0.0,9.3,9.3,0.188,1.0,4.998
0.0,0.0,9.4,9.4,0.184,1.0,4.998
0.0,0.0,9.5,9.5,0.188,1.0,4.998
0.0,0.0,9.6,9.6,0.206,1.0,4.998
0.0,0.0,9.7,9.7,0.216,1.0,4.998
0.0,0.0,9.8,9.8,0.168,1.0,5.0
0.0,0.0,9.9,9.9,0.188,1.0,5.0
0.0,0.0,10.0,10.0,0.148,1.0,4.999
0.0,0.0,10.1,10.1,0.22,1.0,4.998
